week,producer_code,product_id,Product,quantity.x,cost.x,price.x,quantity.y,cost.y,price.y,undelivered,unplanned,discrepancy,Category,Category_[0],"Category 2","Category 3","Owns Land","Owns Water"
6/6/21,CHO,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,TRUE,FALSE
6/6/21,CVP,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,FALSE,FALSE
6/6/21,HAF,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,TRUE,FALSE
6/6/21,KLF,3278,"Radish, Red, Bulk, Bunched w/Tops",8,33.75,NA,NA,NA,NA,1,0,0,Radish," Red"," Bulk"," Bunched w/Tops",#N/A,#N/A
6/6/21,NTN,3266,"Onions, Scallions",6,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,FALSE,FALSE
6/6/21,NTN,3813,"Greens, Kale",15,36,NA,NA,NA,NA,1,0,0,Greens," Kale",,,FALSE,FALSE
6/6/21,POG,3806,"Greens, Lettuce, Head",38,36,NA,19,36,39.96,0,0,-50.00%,Greens," Lettuce"," Head",,#N/A,#N/A
6/6/21,SGC,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,#N/A,#N/A
6/6/21,YMF,3266,"Onions, Scallions",12,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,FALSE,TRUE
6/6/21,YMF,3806,"Greens, Lettuce, Head",38,36,NA,NA,NA,NA,1,0,0,Greens," Lettuce"," Head",,FALSE,TRUE
6/13/21,CHO,3278,"Radish, Red, Bulk, Bunched w/Tops",30,33.75,NA,82,33.75,37.46,0,0,173.30%,Radish," Red"," Bulk"," Bunched w/Tops",TRUE,FALSE
6/13/21,CVP,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,FALSE,FALSE
6/13/21,DTF,3806,"Greens, Lettuce, Head",15,36,NA,NA,NA,NA,1,0,0,Greens," Lettuce"," Head",,TRUE,FALSE
6/13/21,HAF,3266,"Onions, Scallions",6,28.8,NA,6,28.8,31.97,0,0,0.00%,Onions," Scallions",,,TRUE,FALSE
6/13/21,KLF,3278,"Radish, Red, Bulk, Bunched w/Tops",10,33.75,NA,10,33.75,37.46,0,0,0.00%,Radish," Red"," Bulk"," Bunched w/Tops",#N/A,#N/A
6/13/21,NTN,3266,"Onions, Scallions",11,28.8,NA,39,28.8,31.97,0,0,254.50%,Onions," Scallions",,,FALSE,FALSE
6/13/21,POG,3775,Kohlrabi,36,30,NA,NA,NA,NA,1,0,0,Kohlrabi,,,,#N/A,#N/A
6/13/21,SEE,3304,"Garlic Scapes",38,48,NA,NA,NA,NA,1,0,0,"Garlic Scapes",,,,TRUE,TRUE
6/13/21,SGC,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,#N/A,#N/A
6/13/21,WKH,3806,"Greens, Lettuce, Head",5,36,NA,5,36,39.96,0,0,0.00%,Greens," Lettuce"," Head",,#N/A,#N/A
6/13/21,YMF,3266,"Onions, Scallions",11,28.8,NA,11,28.8,31.97,0,0,0.00%,Onions," Scallions",,,FALSE,TRUE
6/13/21,YMF,3813,"Greens, Kale",38,36,NA,24,36,39.96,0,0,-36.80%,Greens," Kale",,,FALSE,TRUE
6/20/21,CBS,3278,"Radish, Red, Bulk, Bunched w/Tops",10,33.75,NA,10,33.75,37.46,0,0,0.00%,Radish," Red"," Bulk"," Bunched w/Tops",TRUE,TRUE
6/20/21,CHO,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,TRUE,FALSE
6/20/21,CHO,3806,"Greens, Lettuce, Head",15,36,NA,NA,NA,NA,1,0,0,Greens," Lettuce"," Head",,TRUE,FALSE
6/20/21,CVP,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,FALSE,FALSE
6/20/21,D2D,3278,"Radish, Red, Bulk, Bunched w/Tops",5,33.75,NA,5,33.75,37.46,0,0,0.00%,Radish," Red"," Bulk"," Bunched w/Tops",TRUE,TRUE
6/20/21,DTF,3806,"Greens, Lettuce, Head",15,36,NA,NA,NA,NA,1,0,0,Greens," Lettuce"," Head",,TRUE,FALSE
6/20/21,HAF,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,TRUE,FALSE
6/20/21,HAF,3806,"Greens, Lettuce, Head",10,36,NA,17,36,39.96,0,0,70.00%,Greens," Lettuce"," Head",,TRUE,FALSE
6/20/21,KLF,3278,"Radish, Red, Bulk, Bunched w/Tops",10,33.75,NA,10,33.75,37.46,0,0,0.00%,Radish," Red"," Bulk"," Bunched w/Tops",#N/A,#N/A
6/20/21,MHG,3278,"Radish, Red, Bulk, Bunched w/Tops",5,33.75,NA,NA,NA,NA,1,0,0,Radish," Red"," Bulk"," Bunched w/Tops",TRUE,TRUE
6/20/21,NTN,3266,"Onions, Scallions",7,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,FALSE,FALSE
6/20/21,PBY,3573,"Greens, Bok Choy",30,40,NA,NA,NA,NA,1,0,0,Greens," Bok Choy",,,FALSE,FALSE
6/20/21,POG,3669,"Greens, Chard",38,36,NA,38,36,39.96,0,0,0.00%,Greens," Chard",,,#N/A,#N/A
6/20/21,SGC,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,#N/A,#N/A
6/20/21,WKH,3573,"Greens, Bok Choy",10,40,NA,10,40,44.4,0,0,0.00%,Greens," Bok Choy",,,#N/A,#N/A
6/20/21,WKH,3806,"Greens, Lettuce, Head",18,36,NA,18,36,39.96,0,0,0.00%,Greens," Lettuce"," Head",,#N/A,#N/A
6/20/21,YMF,3266,"Onions, Scallions",11,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,FALSE,TRUE
6/20/21,YMF,3806,"Greens, Lettuce, Head",38,36,NA,15,36,39.96,0,0,-60.50%,Greens," Lettuce"," Head",,FALSE,TRUE
6/27/21,CBS,3278,"Radish, Red, Bulk, Bunched w/Tops",15,33.75,NA,10,33.75,37.46,0,0,-33.30%,Radish," Red"," Bulk"," Bunched w/Tops",TRUE,TRUE
6/27/21,CHO,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,0,Onions," Scallions",,,TRUE,FALSE
6/27/21,CHO,3278,"Radish, Red, Bulk, Bunched w/Tops",30,33.75,NA,NA,NA,NA,1,0,0,Radish," Red"," Bulk"," Bunched w/Tops",TRUE,FALSE
6/27/21,CHO,3806,"Greens, Lettuce, Head",15,36,NA,NA,NA,NA,1,0,0,Greens," Lettuce"," Head",,TRUE,FALSE
6/27/21,CVP,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,FALSE,FALSE
6/27/21,D2D,3278,"Radish, Red, Bulk, Bunched w/Tops",5,33.75,NA,9,33.75,37.46,0,0,80.00%,Radish," Red"," Bulk"," Bunched w/Tops",TRUE,TRUE
6/27/21,DTF,3806,"Greens, Lettuce, Head",15,36,NA,NA,NA,NA,1,0,0,Greens," Lettuce"," Head",,TRUE,FALSE
6/27/21,HAF,3266,"Onions, Scallions",7,28.8,NA,7,28.8,31.97,0,0,0.00%,Onions," Scallions",,,TRUE,FALSE
6/27/21,KLF,3278,"Radish, Red, Bulk, Bunched w/Tops",5,33.75,NA,5,33.75,37.46,0,0,0.00%,Radish," Red"," Bulk"," Bunched w/Tops",#N/A,#N/A
6/27/21,MHG,3278,"Radish, Red, Bulk, Bunched w/Tops",7,33.75,NA,NA,NA,NA,1,0,0,Radish," Red"," Bulk"," Bunched w/Tops",TRUE,TRUE
6/27/21,NTN,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,FALSE,FALSE
6/27/21,POG,3806,"Greens, Lettuce, Head",38,36,NA,NA,NA,NA,1,0,0,Greens," Lettuce"," Head",,#N/A,#N/A
6/27/21,SGC,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions," Scallions",,,#N/A,#N/A
6/27/21,WKH,3278,"Radish, Red, Bulk, Bunched w/Tops",8,33.75,NA,NA,NA,NA,1,0,0,Radish," Red"," Bulk"," Bunched w/Tops",#N/A,#N/A
6/27/21,WKH,3573,"Greens, Bok Choy",45,40,NA,NA,NA,NA,1,0,0,Greens," Bok Choy",,,#N/A,#N/A
6/27/21,WKH,3806,"Greens, Lettuce, Head",15,36,NA,NA,NA,NA,1,0,0,Greens," Lettuce"," Head",,#N/A,#N/A
6/27/21,YMF,3216,Rhubarb,36,60,NA,NA,NA,NA,1,0,0,Rhubarb,,,,FALSE,TRUE
