week,producer_code,product_id,Product,quantity.x,cost.x,price.x,quantity.y,cost.y,price.y,undelivered,unplanned,discrepancy,Category,Category,Category 2,Category 3,Owns Land,Owns Water
6/6/21,CHO,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,NA,Onions, Scallions,,,TRUE,FALSE
6/6/21,CVP,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,NA,Onions, Scallions,,,FALSE,FALSE
6/6/21,HAF,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,NA,Onions, Scallions,,,TRUE,FALSE
6/6/21,KLF,3278,"Radish, Red, Bulk, Bunched w/Tops",8,33.75,NA,NA,NA,NA,1,0,NA,Radish, Red, Bulk, Bunched w/Tops,#N/A,#N/A
6/6/21,NTN,3266,"Onions, Scallions",6,28.8,NA,NA,NA,NA,1,0,NA,Onions, Scallions,,,FALSE,FALSE
6/6/21,NTN,3813,"Greens, Kale",15,36,NA,NA,NA,NA,1,0,NA,Greens, Kale,,,FALSE,FALSE
6/6/21,POG,3806,"Greens, Lettuce, Head",38,36,NA,19,36,39.96,0,0,-50.00%,Greens, Lettuce, Head,,#N/A,#N/A
6/6/21,SGC,3266,"Onions, Scallions",5,28.8,NA,NA,NA,NA,1,0,NA,Onions, Scallions,,,#N/A,#N/A
6/6/21,YMF,3266,"Onions, Scallions",12,28.8,NA,NA,NA,NA,1,0,NA,Onions, Scallions,,,FALSE,TRUE
6/6/21,YMF,3806,"Greens, Lettuce, Head",38,36,NA,NA,NA,NA,1,0,NA,Greens, Lettuce, Head,,FALSE,TRUE
6/13/21,CHO,3278,"Radish, Red, Bulk, Bunched w/Tops",30,33.75,NA,82,33.75,37.46,0,0,173.30%,Radish, Red, Bulk, Bunched w/Tops,TRUE,FALSE
6/13/21,CVP,3266,"Onions, Scallions",5,28.8,NA,5,28.8,31.97,0,0,0.00%,Onions, Scallions,,,FALSE,FALSE
6/13/21,DTF,3806,"Greens, Lettuce, Head",15,36,NA,NA,NA,NA,1,0,NA,Greens, Lettuce, Head,,TRUE,FALSE
